College_ID,IQ,Prev_Sem_Result,CGPA,Academic_Performance,Internship_Experience,Extra_Curricular_Score,Communication_Skills,Projects_Completed,Placement
CLG2300,77,6.66,6.42,4,'No',0,4,2,'No'
CLG2301,115,7.06,6.94,5,'No',6,4,5,'No'
CLG2302,85,8.01,7.81,8,'No',7,7,4,'No'
CLG2303,94,10,9.75,2,'No',10,5,3,'No'
CLG2304,103,7.46,7.01,2,'No',1,1,1,'No'
CLG2305,129,6.04,6.38,2,'No',1,3,1,'No'
CLG2306,146,5.81,5.37,8,'Yes',8,7,3,'No'
CLG2307,109,5.21,5.6,3,'Yes',3,9,1,'No'
CLG2308,97,7.79,7.42,5,'No',0,9,2,'No'
CLG2309,108,7.72,7.29,2,'Yes',8,7,4,'No'
CLG2310,113,6.03,6.09,6,'Yes',8,5,2,'No'
CLG2311,95,8.48,8.48,10,'No',5,4,4,'No'
CLG2312,126,8.71,8.7,6,'No',5,9,5,'Yes'
CLG2313,103,6.3,6.37,2,'No',8,6,0,'No'
CLG2314,107,6.72,6.51,4,'No',1,10,4,'No'
CLG2315,109,9.95,10.11,2,'Yes',8,2,4,'No'
CLG2316,106,6.87,6.87,10,'Yes',3,3,4,'No'
CLG2317,112,8.8,8.63,4,'No',3,7,1,'No'
CLG2318,90,7.26,7.59,7,'No',8,4,4,'No'
CLG2319,91,8.97,9.2,5,'Yes',6,7,3,'No'
CLG2320,83,8.85,8.74,10,'No',9,5,0,'No'
CLG2321,106,8.34,8.69,4,'No',4,1,0,'No'
CLG2322,111,9.27,9.69,10,'No',7,10,1,'Yes'
CLG2323,106,9.7,9.74,10,'No',0,3,2,'No'
CLG2324,125,7.9,7.61,3,'Yes',6,9,3,'Yes'
CLG2325,99,6.19,6.61,6,'No',3,4,2,'No'
CLG2326,110,6.99,6.68,2,'No',1,5,4,'No'
CLG2327,83,8.79,8.34,4,'No',1,2,2,'No'
CLG2328,94,8.25,8.08,8,'No',10,10,3,'Yes'
CLG2329,110,5.89,6.12,2,'No',8,8,1,'No'
CLG2330,112,5.26,5.68,9,'Yes',5,1,1,'No'
CLG2331,95,8.41,8.55,2,'Yes',10,4,4,'No'
CLG2332,98,6.26,6.71,8,'No',3,6,3,'No'
CLG2333,77,7.5,7.09,8,'Yes',1,8,1,'No'
CLG2334,94,8.73,8.29,7,'Yes',6,4,4,'No'
CLG2335,113,7.81,7.91,10,'No',8,2,2,'No'
CLG2336,108,5.42,5.89,6,'No',1,4,3,'No'
CLG2337,107,5.93,5.93,1,'No',3,1,1,'No'
CLG2338,100,6.1,5.65,2,'Yes',0,8,3,'No'
CLG2339,100,6.29,6.01,7,'Yes',0,9,1,'No'
CLG2340,90,7.83,7.57,4,'Yes',2,3,5,'No'
CLG2341,110,7.52,7.36,9,'No',0,8,1,'No'
CLG2342,106,6.02,5.56,3,'No',3,9,3,'No'
CLG2343,107,5.34,5.74,4,'Yes',5,8,1,'No'
CLG2344,92,5.86,5.88,3,'Yes',4,2,2,'No'
CLG2345,67,9.92,10.09,7,'Yes',8,2,4,'No'
CLG2346,116,7.34,6.91,2,'No',10,10,5,'Yes'
CLG2347,92,9.34,8.89,10,'Yes',1,4,0,'No'
CLG2348,87,9.24,9.33,2,'Yes',1,1,3,'No'
CLG2349,110,7.56,7.95,2,'Yes',2,3,3,'No'
CLG2350,94,8.53,8.56,4,'No',3,4,4,'No'
CLG2351,115,5.96,6.34,8,'Yes',8,2,2,'No'
CLG2352,109,8.44,8.75,8,'Yes',10,7,0,'No'
CLG2353,110,6.36,5.94,8,'Yes',5,10,2,'No'
CLG2354,79,9.16,8.86,8,'Yes',8,3,3,'No'
CLG2355,118,5.42,5.58,7,'No',4,7,0,'No'
CLG2356,103,8.87,8.81,6,'Yes',8,7,1,'No'
CLG2357,94,5.5,5.29,7,'No',8,9,5,'No'
CLG2358,102,9.41,9.33,5,'No',0,4,3,'No'
CLG2359,73,6.52,6.47,8,'No',8,4,2,'No'
CLG2360,106,8.27,8.68,2,'Yes',6,1,4,'No'
CLG2361,84,7.44,7.04,5,'Yes',10,6,1,'No'
CLG2362,79,6.83,6.61,7,'No',7,6,0,'No'
CLG2363,77,8.23,8.27,9,'No',2,7,3,'No'
CLG2364,116,9.74,9.94,10,'No',0,9,4,'Yes'
CLG2365,90,5.21,5.34,1,'No',3,10,4,'No'
CLG2366,123,9.59,10.03,9,'No',0,10,2,'Yes'
CLG2367,91,8.05,8.35,3,'Yes',0,10,5,'Yes'
CLG2368,74,9.04,9.1,1,'Yes',3,9,4,'Yes'
CLG2369,83,6.92,6.63,7,'No',7,5,2,'No'
CLG2370,118,7.36,7.31,3,'No',0,2,0,'No'
CLG2371,97,9.34,9.53,8,'No',9,1,3,'No'
CLG2372,91,7.07,7.41,2,'No',9,2,0,'No'
CLG2373,102,7.67,8.13,4,'No',8,2,5,'No'
CLG2374,107,5.1,5.21,2,'No',5,1,2,'No'
CLG2375,116,5.79,5.82,4,'Yes',4,8,0,'No'
CLG2376,121,8.21,7.73,1,'No',8,3,3,'No'
CLG2377,94,8.58,8.15,10,'Yes',8,10,3,'Yes'
CLG2378,80,7.91,7.57,5,'No',8,10,4,'No'
CLG2379,93,5.72,5.27,3,'Yes',2,8,5,'No'
CLG2380,103,7.23,7.13,9,'No',7,6,2,'No'
CLG2381,85,6.78,6.62,4,'No',9,1,0,'No'
CLG2382,85,7.48,7.62,6,'No',3,7,4,'No'
CLG2383,105,9.35,9.39,9,'Yes',3,3,4,'No'
CLG2384,99,8.88,8.98,2,'Yes',6,9,0,'No'
CLG2385,100,5.42,5.39,7,'Yes',7,9,2,'No'
CLG2386,88,9.45,9.23,3,'No',3,4,2,'No'
CLG2387,96,7.36,7.81,1,'No',10,2,5,'No'
CLG2388,86,8.72,8.31,9,'No',9,10,3,'Yes'
CLG2389,113,5.7,6.14,9,'Yes',5,9,2,'Yes'
CLG2390,115,8.35,8.16,4,'No',0,5,4,'Yes'
CLG2391,72,6.18,6.19,9,'Yes',1,8,3,'No'
CLG2392,86,7.19,6.8,7,'Yes',4,9,1,'No'
CLG2393,77,5.08,4.65,4,'Yes',3,1,3,'No'
CLG2394,90,5.76,5.69,2,'Yes',2,3,4,'No'
CLG2395,98,5.46,5.7,5,'Yes',10,7,5,'No'
CLG2396,78,6.2,5.97,8,'No',5,2,0,'No'
CLG2397,86,5.5,5.56,10,'Yes',9,4,0,'No'
CLG2398,84,8.46,8.24,10,'Yes',5,4,5,'No'
CLG2399,103,5.15,5.04,6,'Yes',10,7,5,'No'
CLG2400,101,8.09,8.5,5,'No',9,2,0,'No'
CLG2401,89,5.7,6.06,4,'Yes',7,8,4,'No'
CLG2402,102,9.73,9.75,6,'No',1,8,5,'Yes'
CLG2403,91,9.67,9.41,3,'Yes',6,6,3,'No'
CLG2404,95,6.13,5.82,2,'No',6,4,0,'No'
CLG2405,125,8.07,8.52,1,'No',1,2,2,'Yes'
CLG2406,120,5.14,4.84,9,'No',5,3,1,'No'
CLG2407,80,9.66,9.97,1,'No',4,3,0,'No'
CLG2408,112,7.61,7.48,4,'No',1,3,5,'No'
CLG2409,112,5.22,5.71,6,'No',8,4,0,'No'
CLG2410,82,6.71,6.58,9,'No',7,7,1,'No'
CLG2411,112,5.38,5.23,4,'No',6,9,2,'Yes'
CLG2412,123,6.96,7.1,7,'No',5,10,1,'No'
CLG2413,83,8.35,8.81,7,'No',4,4,0,'No'
CLG2414,86,7.35,7.83,6,'Yes',8,7,0,'No'
CLG2415,115,6.92,7.13,9,'No',4,10,3,'Yes'
CLG2416,104,5.6,5.85,10,'No',5,6,5,'No'
CLG2417,108,6.22,6.28,7,'No',2,10,4,'No'
CLG2418,105,5.5,5.76,3,'No',8,9,3,'No'
CLG2419,105,9.04,9.4,6,'No',10,8,3,'Yes'
CLG2420,80,5.68,5.67,7,'No',7,2,3,'No'
CLG2421,115,7.98,8.1,7,'No',8,3,3,'Yes'
CLG2422,117,6.71,6.75,6,'No',0,6,3,'No'
CLG2423,96,6.13,6.19,3,'No',0,5,2,'No'
CLG2424,99,8.2,8.59,6,'No',1,2,5,'No'
CLG2425,77,7.29,7.15,2,'No',3,2,4,'No'
CLG2426,107,7,6.71,10,'Yes',9,5,4,'No'
CLG2427,108,7.96,7.92,1,'Yes',4,5,5,'No'
CLG2428,99,7.46,7.17,8,'Yes',6,1,4,'No'
CLG2429,116,6.52,6.52,3,'No',3,10,2,'Yes'
CLG2430,94,7.8,8.2,8,'No',0,3,2,'No'
CLG2431,108,8.35,8.47,3,'No',7,9,5,'Yes'
CLG2432,84,5.13,5.49,2,'Yes',10,10,2,'No'
CLG2433,99,7.33,7,8,'Yes',2,3,0,'No'
CLG2434,97,5.29,5.69,3,'Yes',8,6,4,'No'
CLG2435,103,5.93,6.03,8,'Yes',1,6,1,'No'
CLG2436,94,7.8,7.33,2,'No',10,2,3,'No'
CLG2437,98,9.33,9.46,4,'No',0,7,0,'No'
CLG2438,112,9.41,9.86,9,'No',9,9,0,'Yes'
CLG2439,93,5.35,4.93,1,'No',7,9,3,'No'
CLG2440,75,7.1,7.18,2,'No',2,8,0,'No'
CLG2441,126,7.92,8.34,2,'Yes',0,5,2,'Yes'
CLG2442,120,5.74,5.25,9,'No',10,8,0,'No'
CLG2443,80,8.83,8.96,10,'No',2,9,4,'Yes'
CLG2444,110,8.72,8.69,5,'No',7,1,4,'No'
CLG2445,92,9.52,9.37,4,'No',10,1,5,'No'
CLG2446,103,5.04,5.17,10,'Yes',3,5,5,'No'
CLG2447,104,6.08,5.63,10,'No',9,7,1,'No'
CLG2448,96,9.14,9.39,4,'Yes',10,9,4,'Yes'
CLG2449,88,8.35,7.85,7,'No',6,9,3,'No'
CLG2450,89,9.47,9.28,3,'No',7,3,3,'No'
CLG2451,86,5.29,5.29,9,'Yes',6,1,4,'No'
CLG2452,87,7.98,7.86,5,'Yes',0,3,2,'No'
CLG2453,98,7.85,7.66,9,'No',3,8,4,'No'
CLG2454,89,5.18,5.51,1,'No',9,7,2,'No'
CLG2455,110,7.57,8,10,'No',8,5,5,'No'
CLG2456,122,8.05,8.42,8,'No',6,10,3,'Yes'
CLG2457,91,5.96,5.98,2,'No',0,9,4,'No'
CLG2458,103,6.37,6.75,8,'Yes',7,4,5,'No'
CLG2459,107,8.2,8.62,4,'Yes',3,6,1,'No'
CLG2460,107,7.34,7.25,2,'No',6,5,3,'No'
CLG2461,101,9.29,9.07,2,'No',5,6,1,'No'
CLG2462,111,6.71,6.31,6,'No',6,4,3,'No'
CLG2463,107,6.33,6.31,3,'Yes',9,3,0,'No'
CLG2464,81,9.92,10.37,10,'No',9,5,5,'No'
CLG2465,113,9.56,9.62,3,'No',0,5,0,'No'
CLG2466,113,5.14,5.31,9,'No',5,2,0,'No'
CLG2467,88,8.85,8.46,5,'No',2,10,1,'No'
CLG2468,100,5.55,5.19,7,'No',9,4,2,'No'
CLG2469,110,5.14,5.1,5,'Yes',3,3,3,'No'
CLG2470,96,6.37,6.82,2,'No',0,7,0,'No'
CLG2471,116,6.35,6.21,8,'Yes',9,5,1,'No'
CLG2472,135,9.1,9.48,9,'No',7,6,3,'Yes'
CLG2473,88,8.55,8.17,2,'No',1,7,0,'No'
CLG2474,79,9.91,10.03,2,'No',2,2,0,'No'
CLG2475,104,8.56,8.66,4,'No',6,10,0,'No'
CLG2476,110,7.09,7.45,8,'No',1,4,1,'No'
CLG2477,96,8.49,7.99,5,'No',3,6,2,'No'
CLG2478,121,10,9.69,5,'No',6,3,5,'Yes'
CLG2479,79,8.55,8.27,7,'Yes',2,6,5,'No'
CLG2480,110,8.81,9.26,4,'Yes',1,10,0,'No'
CLG2481,90,9.69,9.34,9,'No',7,1,0,'No'
CLG2482,125,5.57,5.11,4,'Yes',1,8,2,'Yes'
CLG2483,129,8.52,8.55,8,'Yes',9,10,5,'Yes'
CLG2484,88,9.25,9.28,3,'No',6,5,2,'No'
CLG2485,91,9.77,10.11,6,'No',10,1,4,'No'
CLG2486,112,6.05,6.5,1,'No',2,10,0,'No'
CLG2487,94,7.52,7.56,7,'No',3,10,5,'No'
CLG2488,99,8.4,8.83,7,'Yes',5,1,3,'No'
CLG2489,100,6.24,6.47,2,'No',10,10,4,'No'
CLG2490,71,8,7.76,5,'No',2,3,3,'No'
CLG2491,99,6.29,6.72,4,'Yes',0,6,2,'No'
CLG2492,89,6.67,6.84,10,'No',7,2,5,'No'
CLG2493,92,7.21,7.12,9,'No',3,8,4,'No'
CLG2494,121,7.65,7.83,2,'No',0,10,1,'No'
CLG2495,81,7.25,7.15,3,'No',1,7,4,'No'
CLG2496,112,7.47,7.08,1,'No',5,2,4,'No'
CLG2497,95,6.49,6.71,10,'No',0,1,2,'No'
CLG2498,95,5.79,6.11,5,'Yes',8,7,0,'No'
CLG2499,111,5.24,5.47,3,'No',6,7,2,'No'
CLG2500,105,5.98,5.71,4,'Yes',7,3,2,'No'
CLG2501,108,7.91,8.37,4,'No',7,10,2,'Yes'
CLG2502,114,8.93,8.46,6,'No',5,8,3,'Yes'
CLG2503,95,5.85,5.68,10,'No',7,8,5,'No'
CLG2504,90,5.54,5.3,7,'No',6,5,1,'No'
CLG2505,83,8.75,8.3,7,'Yes',0,7,3,'No'
CLG2506,87,6.53,6.44,8,'No',2,3,4,'No'
CLG2507,144,9.76,9.88,3,'Yes',8,6,2,'Yes'
CLG2508,118,8.57,8.95,5,'Yes',7,3,5,'Yes'
CLG2509,79,6.63,7.12,10,'No',4,9,0,'No'
CLG2510,80,6.45,6.76,6,'No',0,7,2,'No'
CLG2511,107,7.62,7.59,6,'No',1,1,3,'No'
CLG2512,108,5.4,5.62,8,'Yes',9,8,5,'No'
CLG2513,108,5.59,5.93,5,'No',9,9,1,'No'
CLG2514,96,5.88,5.85,5,'Yes',8,10,3,'No'
CLG2515,98,8.87,9.16,1,'Yes',9,2,2,'No'
CLG2516,104,7.57,7.55,1,'No',7,1,5,'No'
CLG2517,101,5.05,4.94,6,'Yes',8,4,1,'No'
CLG2518,66,8.37,8.4,10,'Yes',1,9,0,'No'
CLG2519,96,7.12,7.3,10,'No',2,6,3,'No'
CLG2520,87,7.55,7.78,5,'Yes',2,10,5,'No'
CLG2521,102,6.07,5.93,10,'Yes',0,8,3,'No'
CLG2522,144,7.76,7.83,6,'No',1,7,5,'No'
CLG2523,105,9.9,10.31,9,'No',9,5,4,'No'
CLG2524,95,5.37,5.85,8,'No',4,5,5,'No'
CLG2525,113,6.42,6.15,7,'Yes',6,6,1,'No'
CLG2526,107,6.21,5.9,7,'No',5,6,3,'No'
CLG2527,106,6.24,6.42,6,'No',1,5,4,'No'
CLG2528,109,6.89,6.8,6,'Yes',7,8,0,'No'
CLG2529,130,9.09,8.61,1,'No',3,3,5,'Yes'
CLG2530,83,9.56,9.41,7,'No',10,9,3,'Yes'
CLG2531,107,6.01,6.32,5,'No',1,5,3,'No'
CLG2532,86,7.71,8.01,7,'No',3,9,2,'Yes'
CLG2533,108,8.18,8.17,6,'No',7,5,3,'No'
CLG2534,86,7.61,7.58,8,'No',0,3,0,'No'
CLG2535,93,7.17,7.25,3,'Yes',10,9,5,'No'
CLG2536,95,5.96,5.68,8,'Yes',8,2,4,'No'
CLG2537,114,7.44,7.47,7,'No',7,5,5,'No'
CLG2538,113,7.01,6.52,1,'No',7,3,1,'No'
CLG2539,81,8.98,8.96,3,'No',9,7,0,'No'
CLG2540,100,8.82,8.66,10,'Yes',8,4,1,'No'
CLG2541,89,5.67,5.84,4,'No',6,8,0,'No'
CLG2542,81,5.44,5.58,9,'Yes',10,1,5,'No'
CLG2543,96,9.54,9.42,6,'No',8,5,5,'No'
CLG2544,95,7.68,7.19,7,'No',0,8,4,'No'
CLG2545,136,9.29,9.04,5,'No',0,2,2,'Yes'
CLG2546,106,5.29,5.42,3,'Yes',3,6,4,'No'
CLG2547,79,7.63,7.2,5,'Yes',1,7,5,'No'
CLG2548,91,7.7,7.31,7,'No',7,6,1,'No'
CLG2549,115,9.3,9.45,9,'No',0,10,1,'Yes'
CLG2550,131,5.49,5.75,9,'Yes',3,3,5,'No'
CLG2551,76,6.2,6.02,8,'No',10,6,3,'No'
CLG2552,71,7.03,7.02,5,'No',10,7,5,'No'
CLG2553,128,9.33,9.78,7,'Yes',8,3,2,'Yes'
CLG2554,105,9.69,10.14,4,'Yes',1,10,4,'Yes'
CLG2555,86,9.96,9.77,10,'No',5,2,5,'No'
CLG2556,108,9.8,10.11,5,'Yes',3,3,4,'No'
CLG2557,60,5.03,5.12,4,'Yes',3,1,1,'No'
CLG2558,100,5.24,5.72,3,'No',5,7,2,'No'
CLG2559,104,5.74,5.72,1,'No',9,4,4,'No'
CLG2560,113,6.74,7.01,5,'No',3,3,2,'No'
CLG2561,84,9.15,9.42,2,'Yes',8,6,2,'No'
CLG2562,101,9.46,9.46,6,'No',7,3,4,'No'
CLG2563,86,5.93,6.23,5,'No',7,10,5,'No'
CLG2564,103,8.1,7.86,2,'Yes',4,3,2,'No'
CLG2565,86,9.59,9.21,8,'No',5,9,5,'Yes'
CLG2566,93,7.32,7.25,5,'No',0,2,0,'No'
CLG2567,85,5.52,5.96,2,'Yes',0,5,1,'No'
CLG2568,109,7.29,7.29,1,'Yes',8,10,2,'No'
CLG2569,112,6.88,7.02,2,'No',3,10,2,'Yes'
CLG2570,96,7.89,8.01,1,'Yes',2,2,0,'No'
CLG2571,100,7.19,6.82,10,'No',4,6,3,'No'
CLG2572,78,5.09,4.98,10,'No',8,4,2,'No'
CLG2573,95,9.97,10.18,3,'No',8,7,4,'No'
CLG2574,99,7.72,8.19,3,'Yes',2,1,5,'No'
CLG2575,139,7.37,7.04,10,'No',6,8,5,'Yes'
CLG2576,83,9.77,9.68,1,'No',2,2,3,'No'
CLG2577,121,5.78,5.38,7,'Yes',2,4,5,'No'
CLG2578,114,5.95,5.69,10,'No',3,7,5,'No'
CLG2579,104,9.04,8.92,7,'No',1,8,5,'Yes'
CLG2580,126,6.3,6.34,9,'Yes',5,9,3,'Yes'
CLG2581,105,9,8.73,5,'Yes',4,5,0,'No'
CLG2582,105,6.36,6.09,4,'Yes',9,9,4,'No'
CLG2583,99,5.17,5.45,5,'No',9,9,5,'No'
CLG2584,118,7.59,8.05,8,'No',1,3,3,'Yes'
CLG2585,116,5.98,5.8,8,'Yes',9,7,2,'No'
CLG2586,90,8.79,8.98,4,'No',1,8,0,'No'
CLG2587,80,8.21,7.97,8,'Yes',1,1,0,'No'
CLG2588,96,9.62,10.05,4,'No',3,10,0,'No'
CLG2589,87,8.91,9.08,4,'Yes',2,5,5,'No'
CLG2590,99,5.9,6.2,8,'Yes',8,1,1,'No'
CLG2591,118,9,8.55,2,'No',4,3,3,'Yes'
CLG2592,93,8.21,8.31,4,'No',0,2,5,'No'
CLG2593,99,8.34,8.37,1,'No',1,2,4,'No'
CLG2594,100,9.16,8.95,1,'No',6,4,4,'No'
CLG2595,112,7.87,7.63,8,'No',7,5,1,'No'
CLG2596,66,7.33,7.41,4,'No',5,1,5,'No'
CLG2597,90,8.18,8.39,6,'Yes',6,6,2,'No'
CLG2598,103,6.49,6.02,5,'No',1,5,3,'No'
CLG2599,118,5.91,5.98,10,'Yes',5,4,0,'No'
CLG2600,92,8.08,7.75,6,'Yes',5,6,1,'No'
CLG2601,71,6.17,5.81,4,'No',3,2,1,'No'
CLG2602,109,5.4,5.52,4,'No',10,8,3,'No'
CLG2603,90,5,4.81,7,'No',3,6,4,'No'
CLG2604,82,8.04,7.98,1,'No',1,3,5,'No'
CLG2605,90,6.81,6.67,9,'Yes',2,4,3,'No'
CLG2606,97,8.76,8.91,10,'No',9,2,4,'No'
CLG2607,90,6.88,6.85,3,'No',5,4,3,'No'
CLG2608,66,7.43,7.89,4,'No',3,9,4,'No'
CLG2609,113,7.04,6.89,9,'No',2,4,5,'No'
CLG2610,119,8.25,8.49,5,'No',0,8,1,'Yes'
CLG2611,109,6.78,6.54,4,'No',10,3,4,'No'
CLG2612,82,9.82,9.83,6,'Yes',10,5,3,'No'
CLG2613,96,9.68,9.73,1,'No',10,2,2,'No'
CLG2614,99,9.24,9.07,10,'No',2,9,3,'Yes'
CLG2615,108,9.6,9.57,1,'No',0,9,1,'No'
CLG2616,110,7.25,7.03,5,'Yes',3,10,4,'No'
CLG2617,88,7.68,7.19,5,'No',3,7,4,'No'
CLG2618,101,8.71,8.43,9,'No',10,2,4,'No'
CLG2619,106,8.48,8.68,1,'No',0,4,1,'No'
CLG2620,121,9.45,9.72,3,'No',6,6,5,'Yes'
CLG2621,110,8.58,8.36,3,'No',4,9,3,'Yes'
CLG2622,111,9.99,9.9,4,'No',0,6,4,'Yes'
CLG2623,101,6.74,6.28,7,'Yes',4,4,2,'No'
CLG2624,121,9.16,8.9,7,'Yes',6,1,5,'Yes'
CLG2625,106,8.49,8.77,10,'No',5,7,2,'No'
CLG2626,87,8.46,8.57,5,'Yes',9,7,0,'No'
CLG2627,121,6.63,6.34,9,'No',4,6,2,'No'
CLG2628,110,8.93,8.69,7,'Yes',7,3,0,'No'
CLG2629,93,9.5,9.82,2,'Yes',8,5,4,'No'
CLG2630,92,6.09,5.8,3,'Yes',0,7,1,'No'
CLG2631,104,8.13,7.96,7,'No',5,6,1,'No'
CLG2632,106,6.96,7.12,5,'No',1,7,1,'No'
CLG2633,102,9.95,10.01,7,'No',7,5,4,'No'
CLG2634,104,7.39,7.35,9,'No',4,1,4,'No'
CLG2635,125,6.14,6.54,9,'No',0,10,3,'Yes'
CLG2636,116,6.91,6.63,3,'Yes',4,5,5,'No'
CLG2637,102,8.27,8.51,8,'Yes',9,2,2,'No'
CLG2638,114,5.38,5.04,6,'No',4,10,4,'Yes'
CLG2639,84,8.02,8.14,4,'No',1,10,2,'Yes'
CLG2640,105,9.66,10.03,4,'No',3,2,1,'No'
CLG2641,127,9.25,9.21,4,'No',5,4,2,'Yes'
CLG2642,96,5.34,5.56,7,'Yes',0,6,3,'No'
CLG2643,87,9.97,10.29,6,'Yes',10,5,1,'No'
CLG2644,90,8.49,8.13,2,'No',8,7,2,'No'
CLG2645,83,5.81,6.02,5,'Yes',6,10,3,'No'
CLG2646,88,5.06,5.48,5,'Yes',5,8,5,'No'
CLG2647,94,5.86,5.94,6,'Yes',0,10,2,'No'
CLG2648,78,9.19,8.88,7,'No',7,1,3,'No'
CLG2649,100,5.11,4.74,8,'Yes',7,8,2,'No'
CLG2650,113,6.17,5.93,10,'Yes',3,3,1,'No'
CLG2651,86,8.79,8.39,8,'No',3,10,1,'No'
CLG2652,122,7.93,7.94,5,'Yes',0,10,0,'No'
CLG2653,107,8.91,8.48,2,'Yes',8,2,3,'No'
CLG2654,115,8.73,8.45,10,'Yes',7,2,2,'Yes'
CLG2655,90,5.25,5.19,8,'Yes',9,5,5,'No'
CLG2656,112,9.46,9.43,6,'No',6,2,2,'Yes'
CLG2657,83,6.14,6.21,3,'Yes',1,4,2,'No'
CLG2658,113,7.77,7.98,4,'No',6,3,4,'No'
CLG2659,102,8.22,7.77,1,'Yes',3,8,3,'No'
CLG2660,108,5.84,5.42,3,'No',2,9,2,'No'
CLG2661,82,9.88,9.44,4,'No',10,6,0,'No'
CLG2662,86,7.44,7.36,2,'No',9,4,1,'No'
CLG2663,108,5.29,4.83,6,'No',3,2,4,'No'
CLG2664,85,9.69,9.94,8,'Yes',9,8,4,'Yes'
CLG2665,106,7.93,7.65,6,'No',5,3,1,'No'
CLG2666,79,8.5,8.94,10,'No',6,2,5,'No'
CLG2667,112,7.63,7.62,3,'No',1,4,5,'No'
CLG2668,81,9.17,9.12,9,'Yes',6,2,4,'No'
CLG2669,108,5.17,5.45,4,'Yes',9,3,0,'No'
CLG2670,109,6.34,6.55,6,'No',1,9,0,'No'
CLG2671,89,7.35,7.46,4,'No',10,7,1,'No'
CLG2672,108,5.38,5.82,4,'No',1,1,3,'No'
CLG2673,103,8.53,8.45,2,'No',0,10,5,'Yes'
CLG2674,91,6.97,7.28,10,'Yes',10,5,4,'No'
CLG2675,84,6.36,6.24,2,'No',6,5,2,'No'
CLG2676,70,5.02,5.36,2,'No',0,9,5,'No'
CLG2677,105,8.6,8.36,2,'No',2,1,2,'No'
CLG2678,76,9.17,8.96,8,'Yes',10,1,0,'No'
CLG2679,101,6.98,7.16,10,'No',7,10,3,'No'
CLG2680,96,7.82,7.53,4,'Yes',0,7,3,'No'
CLG2681,110,6.14,5.87,4,'No',5,7,5,'No'
CLG2682,95,8.11,7.92,10,'No',1,8,4,'No'
CLG2683,95,5.06,5.24,10,'No',8,4,5,'No'
CLG2684,110,7.44,7.83,3,'No',1,7,4,'No'
CLG2685,105,8.22,8.39,5,'No',5,6,1,'No'
CLG2686,104,9.59,9.92,4,'No',3,1,0,'No'
CLG2687,107,6.91,6.95,7,'Yes',8,2,1,'No'
CLG2688,76,8.83,8.4,10,'No',0,8,1,'No'
CLG2689,111,7.99,7.59,7,'No',0,6,3,'No'
CLG2690,109,9.64,9.69,6,'Yes',9,7,4,'No'
CLG2691,84,6.99,6.82,7,'No',2,8,2,'No'
CLG2692,96,6.6,6.32,7,'Yes',10,5,1,'No'
CLG2693,99,9.44,9.41,8,'Yes',5,5,0,'No'
CLG2694,97,5.25,5.42,1,'Yes',2,2,1,'No'
CLG2695,105,5.68,5.56,3,'No',6,4,2,'No'
CLG2696,121,5.41,5.71,3,'No',8,2,2,'No'
CLG2697,116,9.22,9.46,5,'No',9,7,0,'No'
CLG2698,80,5.05,5.28,10,'Yes',1,9,5,'No'
CLG2699,109,9.31,9.8,7,'Yes',3,2,2,'No'
CLG2700,119,7.26,7.06,10,'No',2,4,2,'No'
CLG2701,105,5.02,5.16,6,'Yes',5,8,5,'No'
CLG2702,116,7.01,7.37,4,'No',4,9,2,'Yes'
CLG2703,130,5.93,6.01,6,'No',2,4,1,'No'
CLG2704,115,8.12,8.41,7,'No',8,8,0,'Yes'
CLG2705,103,8.4,8.31,4,'No',7,7,1,'No'
CLG2706,115,7.44,7.53,8,'Yes',2,5,5,'No'
CLG2707,102,5.2,4.76,5,'No',9,4,0,'No'
CLG2708,100,8.28,8.77,3,'Yes',4,6,2,'No'
CLG2709,94,9.21,9.51,2,'No',4,6,2,'No'
CLG2710,123,8.6,8.97,1,'No',4,2,4,'Yes'
CLG2711,87,9.15,9.34,4,'No',7,3,2,'No'
CLG2712,122,6,5.69,2,'Yes',2,6,0,'No'
CLG2713,107,9.44,8.97,3,'No',2,4,3,'No'
CLG2714,79,6.61,6.97,1,'No',7,3,0,'No'
CLG2715,105,5.07,4.97,6,'No',8,4,2,'No'
CLG2716,68,9.22,8.98,4,'No',4,6,2,'No'
CLG2717,109,9.71,9.77,5,'No',9,3,3,'No'
CLG2718,113,8.28,8.2,8,'No',7,1,2,'Yes'
CLG2719,91,6.16,6.31,4,'No',4,6,4,'No'
CLG2720,101,6.26,6.24,6,'No',3,2,3,'No'
CLG2721,129,7.33,7.53,3,'No',1,9,1,'No'
CLG2722,92,9.49,9.84,8,'No',10,6,5,'No'
CLG2723,84,5.75,5.45,3,'Yes',3,1,4,'No'
CLG2724,122,9.13,8.96,7,'No',1,4,0,'No'
CLG2725,129,6.46,6.4,7,'No',6,5,5,'No'
CLG2726,100,9.04,9.5,3,'Yes',6,8,5,'Yes'
CLG2727,115,9.6,9.47,3,'Yes',8,3,4,'Yes'
CLG2728,120,7.14,7.02,10,'No',3,9,4,'Yes'
CLG2729,88,6.83,6.98,10,'No',4,9,2,'No'
CLG2730,92,9.01,8.93,8,'Yes',10,10,1,'No'
CLG2731,118,7.65,8.1,3,'No',3,5,3,'Yes'
CLG2732,125,8.42,8.81,2,'No',3,4,5,'Yes'
CLG2733,108,8.11,8.12,5,'Yes',4,7,4,'No'
CLG2734,86,5.76,5.9,7,'Yes',2,9,5,'No'
